,date,npsm2,npsm2-below-20MeV,npsm2-below-200MeV
0,2008-01-01,39.969282472000664,15.283490849370065,32.74990305730644
1,2008-04-01,39.264946986700934,15.027468320865841,32.15866269798292
2,2008-07-01,38.54811046937758,14.761866369579876,31.55398868333871
3,2008-10-01,37.7294121023404,14.4581641292026,30.86677954913975
4,2009-01-01,36.96962459255929,14.172965606384174,30.23982803192087
5,2009-04-01,36.24354749286307,13.905389629843901,29.640037053489948
6,2009-07-01,35.54431303149634,13.652236759451265,29.065377003559632
7,2009-10-01,34.87813364704323,13.418388481102847,28.53313008466853
8,2010-01-01,34.179377352302204,13.139444637481612,27.93179257200196
9,2010-04-01,33.52087651761919,12.866927125622093,27.382578543658717
10,2010-07-01,32.90792644618024,12.635928596657383,26.87346254950317
11,2010-10-01,32.30127037289217,12.382915294160947,26.337694681118617
12,2011-01-01,31.782945736434108,12.184247385833997,25.914958100895937
13,2011-04-01,31.316829710091046,12.022581192056132,25.51835316722634
14,2011-07-01,30.8487787724722,11.823123470718379,25.12490659477517
15,2011-10-01,30.45500833179041,11.68157517126458,24.79344102943899
16,2012-01-01,30.12370195925819,11.566405031633707,24.521774463543263
17,2012-04-01,29.845528316973173,11.456366286158225,24.28052148369938
18,2012-07-01,29.59817788150606,11.34156286027613,24.064617720664735
19,2012-10-01,29.43263501933341,11.280758015047347,23.92254334290451
20,2013-01-01,29.31238027353321,11.241479930502962,23.828908094622886
21,2013-04-01,29.225118476833515,11.212197769553883,23.759220648700573
22,2013-07-01,29.204070083554328,11.20770963482429,23.742801344858577
23,2013-10-01,29.2225349923103,11.211419624564853,23.757571719661765
24,2014-01-01,29.31238027353321,11.241479930502962,23.828908094622886
25,2014-04-01,29.431301615347195,11.280312222178733,23.922402947770998
26,2014-07-01,29.593974138730893,11.340382998703843,24.060708471688404
27,2014-10-01,29.836535817845295,11.453547203931985,24.273878327319522
28,2015-01-01,30.12370195925819,11.566405031633707,24.521774463543263
29,2015-04-01,30.444565267687757,11.677791402526493,24.784831798621074
30,2015-07-01,30.83832072205085,11.820916859278007,25.11769065593316
31,2015-10-01,31.3058603157613,12.017661225582017,25.509172538875507
32,2016-01-01,31.782945736434108,12.184247385833997,25.914958100895937
33,2016-04-01,32.294851234372935,12.381752561197361,26.333800445852255
34,2016-07-01,32.89227846756606,12.626770728537238,26.85977267188642
35,2016-10-01,33.50892661049804,12.862658471606409,27.37440836736448
36,2017-01-01,34.179377352302204,13.139444637481612,27.93179257200196
37,2017-04-01,34.86425429298283,13.411265104939583,28.52051091795633
38,2017-07-01,35.522661077755394,13.640858451372086,29.04445141933372
39,2017-10-01,36.227608806399644,13.900095003373309,29.625907006842997
40,2018-01-01,36.96962459255929,14.172965606384174,30.23982803192087
41,2018-04-01,37.71857472781261,14.451393570783068,30.856153084790495
42,2018-07-01,38.52204770257849,14.753888239882519,31.528525966154824
43,2018-10-01,39.252831935722334,15.023260329004845,32.14667074873618
44,2019-01-01,39.969282472000664,15.283490849370065,32.74990305730644
45,2019-04-01,39.26577409295465,15.029970309786568,32.16253057718522
46,2019-07-01,38.54924064735546,14.762665650287323,31.554547320276768
47,2019-10-01,37.73243069681673,14.459404676058965,30.869020840284282
48,2020-01-01,36.96962459255929,14.172965606384174,30.23982803192087
49,2020-04-01,36.237088555295415,13.902355047514117,29.634692191158248
50,2020-07-01,35.53564977226148,13.64911723891104,29.058016767227258
51,2020-10-01,34.877540402885614,13.41770138481574,28.532705046508468
52,2021-01-01,34.179377352302204,13.139444637481612,27.93179257200196
53,2021-04-01,33.52087651761919,12.866927125622093,27.382578543658717
54,2021-07-01,32.90792644618024,12.635928596657383,26.87346254950317
55,2021-10-01,32.30127037289217,12.382915294160947,26.337694681118617
